image,NoF,ALB,BET,DOL,LAG,OTHER,SHARK,YFT
img_00005.jpg,0.9862180382505454,0.0032262773363587135,0.0008036456857266752,0.005171590772326971,0.00043012412027470083,0.0006627061255068572,0.0006823939764804918,0.0028052237327802123
img_00007.jpg,0.019934980876597157,0.27510397467063,0.0017332221954230985,0.003995008634643909,0.0021594256716061942,0.0013015328543805383,0.0003923340057482282,0.6953795210909708
img_00009.jpg,0.02048264950656932,0.892371212358034,0.0486675491668722,0.003471922500065068,0.002292872853739785,0.018412062543260117,0.00045742809806422185,0.013844302973395183
img_00018.jpg,0.02575765506689504,0.8993015408619282,0.047918904121634395,0.000667846932798758,0.000674106619429872,0.023755491111450016,0.00023086953484061806,0.0016935857510231816
img_00027.jpg,0.028317972399151497,0.8469248686210737,0.017151979859111387,0.00032067282042438824,0.00038041579845835005,0.0858880280143135,0.0001700767906832218,0.020845985696783968
img_00030.jpg,0.9849442383200415,0.012825459083652126,4.2586538745647156e-05,3.657334098690493e-05,0.0013147808052841707,0.0007790272994353923,1.6308797365017407e-05,4.1025814489328034e-05
img_00040.jpg,0.14388368362540166,0.051257897222675965,0.00165332216422373,0.0024848161595315255,0.00024572790319228214,0.013675167010303902,0.7815445216105527,0.005254864304118413
img_00046.jpg,0.9860667045720711,0.005705151681201162,0.002479533222206475,0.0014213510366091356,0.0004490400361333568,0.0009119017473569595,0.0021709398208843763,0.0007953778835373389
img_00053.jpg,0.0901013063772979,0.8748833075492085,0.010739379189757358,0.001127873259351558,0.0004271351870657307,0.005595717442639602,0.0002988475376534785,0.01682643345702578
img_00071.jpg,0.1657924923771655,0.0001697463537025784,2.54179231186964e-06,5.616173207531386e-06,0.833967553148668,1.1082243179730164e-05,1.5650215354613048e-07,5.081140961128316e-05
img_00075.jpg,0.029175452360909158,0.6370174676186077,0.0023745355171396246,0.0001267113077716039,0.0011774585704918375,0.32911227902367746,1.87568123304745e-06,0.0010142199201694925
img_00102.jpg,0.06183170623485115,0.6550950714136426,0.0013321122911342824,0.0001707138791613411,0.0019025785555239858,0.0019741145151342602,0.02089551696583289,0.25679818614471933
img_00103.jpg,0.01801526853311018,0.8448404218452912,0.026497333575404007,0.018600168907820767,0.0028516808581316192,0.06734521149608756,0.003119567457492165,0.01873034732666239
img_00109.jpg,0.04165115190925107,0.9268099886031769,0.010747900626842298,0.0008193784087573036,0.0005508442603442374,0.008504232276556068,0.0006623111881424303,0.010254192726929758
